time_s,q_base_x_m,q_base_y_m,q_base_z_m,q_quat_x,q_quat_y,q_quat_z,q_quat_w,q_joint_0_rad,q_joint_1_rad,q_joint_2_rad,q_joint_3_rad,q_joint_4_rad,q_joint_5_rad,v_base_linear_x_mps,v_base_linear_y_mps,v_base_linear_z_mps,v_base_angular_x_rps,v_base_angular_y_rps,v_base_angular_z_rps,v_joint_0_rps,v_joint_1_rps,v_joint_2_rps,v_joint_3_rps,v_joint_4_rps,v_joint_5_rps,a_base_linear_x_mps2,a_base_linear_y_mps2,a_base_linear_z_mps2,a_base_angular_x_rps2,a_base_angular_y_rps2,a_base_angular_z_rps2,a_joint_0_rps2,a_joint_1_rps2,a_joint_2_rps2,a_joint_3_rps2,a_joint_4_rps2,a_joint_5_rps2,thrust_command_0_N,thrust_command_1_N,thrust_command_2_N,thrust_command_3_N,thrust_actual_0_N,thrust_actual_1_N,thrust_actual_2_N,thrust_actual_3_N,joint_torque_0_Nm,joint_torque_1_Nm,joint_torque_2_Nm,joint_torque_3_Nm,joint_torque_4_Nm,joint_torque_5_Nm,damping_l0_fx_local_N,damping_l0_fy_local_N,damping_l0_fz_local_N,damping_l0_mx_local_Nm,damping_l0_my_local_Nm,damping_l0_mz_local_Nm,buoyancy_l0_fx_local_N,buoyancy_l0_fy_local_N,buoyancy_l0_fz_local_N,buoyancy_l0_mx_local_Nm,buoyancy_l0_my_local_Nm,buoyancy_l0_mz_local_Nm,total_fluid_l0_fx_local_N,total_fluid_l0_fy_local_N,total_fluid_l0_fz_local_N,total_fluid_l0_mx_local_Nm,total_fluid_l0_my_local_Nm,total_fluid_l0_mz_local_Nm,damping_l1_fx_local_N,damping_l1_fy_local_N,damping_l1_fz_local_N,damping_l1_mx_local_Nm,damping_l1_my_local_Nm,damping_l1_mz_local_Nm,buoyancy_l1_fx_local_N,buoyancy_l1_fy_local_N,buoyancy_l1_fz_local_N,buoyancy_l1_mx_local_Nm,buoyancy_l1_my_local_Nm,buoyancy_l1_mz_local_Nm,total_fluid_l1_fx_local_N,total_fluid_l1_fy_local_N,total_fluid_l1_fz_local_N,total_fluid_l1_mx_local_Nm,total_fluid_l1_my_local_Nm,total_fluid_l1_mz_local_Nm,damping_l2_fx_local_N,damping_l2_fy_local_N,damping_l2_fz_local_N,damping_l2_mx_local_Nm,damping_l2_my_local_Nm,damping_l2_mz_local_Nm,buoyancy_l2_fx_local_N,buoyancy_l2_fy_local_N,buoyancy_l2_fz_local_N,buoyancy_l2_mx_local_Nm,buoyancy_l2_my_local_Nm,buoyancy_l2_mz_local_Nm,total_fluid_l2_fx_local_N,total_fluid_l2_fy_local_N,total_fluid_l2_fz_local_N,total_fluid_l2_mx_local_Nm,total_fluid_l2_my_local_Nm,total_fluid_l2_mz_local_Nm,damping_l3_fx_local_N,damping_l3_fy_local_N,damping_l3_fz_local_N,damping_l3_mx_local_Nm,damping_l3_my_local_Nm,damping_l3_mz_local_Nm,buoyancy_l3_fx_local_N,buoyancy_l3_fy_local_N,buoyancy_l3_fz_local_N,buoyancy_l3_mx_local_Nm,buoyancy_l3_my_local_Nm,buoyancy_l3_mz_local_Nm,total_fluid_l3_fx_local_N,total_fluid_l3_fy_local_N,total_fluid_l3_fz_local_N,total_fluid_l3_mx_local_Nm,total_fluid_l3_my_local_Nm,total_fluid_l3_mz_local_Nm
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1031300784500053e-15,-3.8386370985852175e-16,-9.8099999999999987,-6.3990626651572995e-15,5.9175413091727974e-15,-2.853647905936955e-17,1.1926397882113394e-14,-6.5864941166180747e-15,-6.9065235286675802e-15,-1.0736574074019803e-16,-1.5464592763546172e-15,1.0235545547568017e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,0,0,0,-0,0,-0,0,0,0,-0,0,-0,-0,-0,-0,-0,-0,-0,0,0,0,-0,0,-0,0,0,0,-0,0
0.01,-1.1060326324621547e-19,-3.8700245009578146e-20,-0.00098099999999999988,-3.19953133257865e-19,2.958770654586399e-19,-1.4268239529684774e-21,1,1.1926397882113395e-18,-6.5864941166180759e-19,-6.9065235286675804e-19,-1.0736574074019803e-20,-1.5464592763546171e-19,1.0235545547568018e-19,-1.1031300784500054e-17,-3.8386370985852178e-18,-0.098099999999999993,-6.3990626651573e-17,5.9175413091727974e-17,-2.8536479059369549e-19,1.1926397882113394e-16,-6.5864941166180753e-17,-6.9065235286675801e-17,-1.0736574074019803e-18,-1.5464592763546172e-17,1.0235545547568018e-17,-1.1031300784500053e-15,-3.8386370985852175e-16,-9.8099999999999987,-6.3990626651572995e-15,5.9175413091727974e-15,-2.853647905936955e-17,1.1926397882113394e-14,-6.5864941166180747e-15,-6.9065235286675802e-15,-1.0736574074019803e-16,-1.5464592763546172e-15,1.0235545547568017e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,0,0,0,-0,0,-0,0,0,0,-0,0,-0,-0,-0,-0,-0,-0,-0,0,0,0,-0,0,-0,0,0,0,-0,0
0.02,-3.0813067062927466e-19,-1.1515445707921535e-19,-0.0029429999999999994,-9.4689680806843506e-19,8.1016939157949721e-19,-3.8649654140103311e-21,1,3.5213174345885588e-18,-1.7582098292391569e-18,-2.0151333591730438e-18,-1.1507169385844396e-19,-5.0126712364577846e-19,3.4460902743562762e-19,-1.9535734423435036e-17,-7.3968652484754985e-18,-0.19619999999999999,-1.25388734962114e-16,1.0285846522417146e-16,-4.8762829220837077e-19,2.3286776463772192e-16,-1.0995604175773493e-16,-1.3244810063062858e-16,-1.0433511978442417e-17,-3.4662119601031674e-17,2.4225357195994743e-17,-8.5044336389349819e-16,-3.5582281498902795e-16,-9.8099999999999987,-6.1398108310541009e-15,4.3683052132443477e-15,-2.0226350161467531e-17,1.1360378581658797e-14,-4.4091100591554183e-15,-6.3382865343952763e-15,-9.3598545710404357e-16,-1.9197526837485503e-15,1.3989811648426724e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,-0,0
0.029999999999999999,-5.4858926914279865e-19,-2.2829619336589035e-19,-0.0058859999999999997,-1.8686746362025114e-18,1.4049023932797e-18,-6.5247345601463745e-21,1,6.925869044329668e-18,-2.9182732701428657e-18,-3.8982258153330279e-18,-4.5117283203588738e-19,-1.0931925327634544e-18,7.9584997602762381e-19,-2.3393964225068339e-17,-1.0485550952618561e-17,-0.29430000000000001,-1.843555656268153e-16,1.1894660034004055e-16,-5.3195382922720862e-19,3.4045516097411088e-16,-1.160063440903709e-16,-1.8830924561599837e-16,-3.3610113817744339e-17,-5.9192540911767596e-17,4.5124094859199615e-17,-3.8582298016333023e-16,-3.0886857041430629e-16,-9.8099999999999987,-5.8966830664701295e-15,1.6088135115869094e-15,-4.4325537018837877e-18,1.0758739633638895e-14,-6.0503023326359709e-16,-5.5861144985369789e-15,-2.3176601839301924e-15,-2.4530421310735929e-15,2.0898737663204876e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,-0,0
0.040000000000000001,-7.8392689007911443e-19,-3.774279943051467e-19,-0.0098099999999999993,-3.076413112364266e-18,1.9322346053813219e-18,-8.5447899307251009e-21,1,1.1353089749696888e-17,-3.7371685967611567e-18,-6.2596342379302826e-18,-1.1533133995771911e-18,-1.9837500738022355e-18,1.5145703566332717e-18,-2.2224269535356994e-17,-1.297272766138803e-17,-0.39239999999999997,-2.4154769523235091e-16,1.0546644242032442e-16,-4.040110741157454e-19,4.4272207053672187e-16,-8.1889532661829116e-17,-2.3614084225972551e-16,-7.0214056754130382e-17,-8.905575410387812e-17,7.1872038060564794e-17,1.1696946897113448e-16,-2.4871767087694694e-16,-9.8099999999999987,-5.7192129605535614e-15,-1.3480157919716132e-15,1.2794275511146323e-17,1.0226690956261096e-14,3.4116811428541789e-15,-4.7831596643727146e-15,-3.6603942936386039e-15,-2.9863213192110521e-15,2.6747943201365181e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,-0,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,-0,0
0.050000000000000003,-1.1161453157937078e-18,-5.1818547716644307e-19,-0.014714999999999999,-4.2072283644463816e-18,2.7393167279097735e-18,-1.2519872419119988e-20,1,1.5417954115818336e-17,-5.2469295554545639e-18,-8.1400700464154335e-18,-1.770008259027943e-18,-3.476862039541416e-18,2.3238548691902485e-18,-3.0930446642480047e-17,-1.0503122141754013e-17,-0.49049999999999994,-2.2616305041642316e-16,1.6141642450569036e-16,-7.9501649767897722e-19,4.0648643661214477e-16,-1.5097609586934074e-16,-1.8804358084851515e-16,-6.1669485945075178e-17,-1.4931119657391801e-16,8.0928451255697682e-17,-8.7061771071230546e-16,2.469605519634017e-16,-9.8099999999999987,1.5384644815927774e-15,5.594998208536592e-15,-3.9100542356323183e-17,-3.623563392457709e-15,-6.9086563207511609e-15,4.8097261411210377e-15,8.5445708090552103e-16,-6.0255442470039888e-15,9.0564131951328921e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,-0,-0,0,-0,-0,0,-0,0,0,0,-0,0,-0,0,0,0,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,-0,0
0.060000000000000005,-1.5232830027574706e-18,-6.4593681980364395e-19,-0.020600999999999998,-5.2253610643492319e-18,3.7632275123147656e-18,-1.8219870531041434e-20,1,1.8971545412988543e-17,-7.3182807944593489e-18,-9.410473934181048e-18,-2.2401996831684124e-18,-5.6258379219184733e-18,3.0817915110907064e-18,-3.6886371156580127e-17,-7.2231121259309939e-18,-0.5885999999999999,-2.0362653998057006e-16,2.047821568809984e-16,-1.1399996223842889e-18,3.5535912971702049e-16,-2.0713512390047849e-16,-1.2704038877656141e-16,-4.7019142414046928e-17,-2.1489758823770568e-16,7.5793664190045793e-17,-5.9559245141000785e-16,3.2800100158230186e-16,-9.8099999999999987,2.2536510435853098e-15,4.3365732375308034e-15,-3.4498312470531172e-17,-5.1127306895124307e-15,-5.6159028031137743e-15,6.1003192071953737e-15,1.4650343531028251e-15,-6.5586391663787677e-15,-5.1347870656518824e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,-0,-0,0,-0,-0,0,-0,0,0,0,-0,0,-0,0,0,0,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,-0,0
0.070000000000000007,-2.1134439044822956e-18,-7.5642622488047983e-19,-0.027467999999999996,-6.0988270187650289e-18,5.3699334936920032e-18,-2.7713826529209976e-20,1,2.1889656407208013e-17,-1.106583612741281e-17,-9.9868741487093425e-18,-2.0048388539839143e-18,-8.4306479516819985e-18,3.4748460730201355e-18,-5.2744348509657638e-17,-3.2726205510090286e-18,-0.68669999999999987,-1.7469319088315937e-16,3.2134119627544756e-16,-1.8987911996337078e-18,2.9181109942194699e-16,-3.747555332953462e-16,-5.7640021452829458e-17,2.35360829184498e-17,-2.8048100297635251e-16,3.9305456192942901e-17,-1.5857977353077513e-15,3.9504915749219652e-16,-9.8099999999999987,2.893334909741069e-15,1.1655903939444918e-14,-7.5879157724941904e-17,-6.3548030295073478e-15,-1.6762040939486771e-14,6.9400367323731946e-15,7.0555225332496725e-15,-6.5583414738646845e-15,-3.6488207997102891e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,-0,-0,0,-0,0,0,-0,0,0,0,-0,0,-0,0,0,0,0,0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,-0,0
0.080000000000000002,-2.9259765281587297e-18,-8.6024323946381306e-19,-0.035315999999999993,-6.9130647189902912e-18,7.6782435336959371e-18,-4.1749019130366814e-20,1,2.4483522607653543e-17,-1.6795563319599993e-17,-9.9257308483841278e-18,-1.0311856970372947e-18,-1.2451188132130458e-17,3.5982943053321788e-18,-7.1013053036549352e-17,-1.6996882254295445e-19,-0.78479999999999983,-1.6284754004505241e-16,4.6166200800078687e-16,-2.8070385202313658e-18,2.5938662004455282e-16,-5.729727192187183e-16,6.1143300325215295e-18,9.736531569466195e-17,-4.0205401804484597e-16,1.2344823231204311e-17,-1.8268704526891716e-15,3.1026517284660743e-16,-9.8099999999999987,1.1845650838106969e-15,1.4032081172533932e-14,-9.0824732059765794e-17,-3.242447937739417e-15,-1.9821718592337208e-14,6.3754351485350981e-15,7.3829232776212151e-15,-1.2157301506849348e-14,-2.696063296173859e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,-0,0
0.089999999999999997,-3.9823300012197207e-18,-9.2757565594285016e-19,-0.04414499999999999,-7.4322763022939189e-18,1.0750291762584707e-17,-6.1298679876687416e-20,1,2.5708154727764399e-17,-2.4672500751488572e-17,-8.1090387874182578e-18,7.1618338417315687e-19,-1.8609941583755543e-17,3.4706632693845898e-18,-8.9364793493012893e-17,5.932259939788119e-18,-0.8828999999999998,-1.0384231666072553e-16,6.1440964577775377e-16,-3.909932149264116e-18,1.2246321201108581e-16,-7.876937431888578e-16,1.8166920609658699e-16,1.7473690812104514e-16,-6.1587534516250841e-16,-1.2763103594758927e-17,-1.8351740456463534e-15,6.1022287623310729e-16,-9.8099999999999987,5.9005223384326882e-15,1.5274763777696692e-14,-1.1028936290327499e-16,-1.3692340803346701e-14,-2.1472102397013952e-14,1.7555487606406546e-14,7.7371592426383191e-15,-2.1382132711766249e-14,-2.5107926825963237e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,-0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0
